Profile,Data set,Iteration,Function name,Calls,Calls (relative),Self time,Self time (relative),Proportion,Proportion (relative)
"TopN_Outlier_Pruning_Block_NO_BLOCKING","mesh_network","average","distance_squared",641730,0.499827479178723,1.06666666666667,0.990712074303403,99.1666666666667,0.990675990675991
"TopN_Outlier_Pruning_Block_NO_BLOCKING","mesh_network","average","merge",219,0.000170573633677934,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","mesh_network","average","read_vardump",1,7.78875039625268e-07,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","mesh_network","average","set_num_vectors",2,1.55775007925054e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","mesh_network","average","test",1,7.78875039625268e-07,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","mesh_network","average","top_n_outlier_pruning_block",1,7.78875039625268e-07,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","mesh_network","average","add_neighbour",661626,0.499964106164143,0.0133333333333333,0.0121580547112462,1.21333333333333,0.0121236344257927
"TopN_Outlier_Pruning_Block_SORTED","mesh_network","average","best_outliers",30,2.26697910676489e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","mesh_network","average","distance_squared",661626,0.499964106164143,1.06,0.96656534954407,96.7366666666667,0.966593391953104
"TopN_Outlier_Pruning_Block_SORTED","mesh_network","average","merge",30,2.26697910676489e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","mesh_network","average","read_vardump",1,7.55659702254964e-07,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","mesh_network","average","set_num_vectors",2,1.51131940450993e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","mesh_network","average","sort_block_scores_descending",30,2.26697910676489e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","mesh_network","average","test",1,7.55659702254964e-07,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","mesh_network","average","top_n_outlier_pruning_block",1,7.55659702254964e-07,0.0233333333333333,0.0212765957446808,2.13,0.0212829736211031
"TopN_Outlier_Pruning_Block_UNSORTED","mesh_network","average","add_neighbour",661626,0.499964106164143,0.0833333333333333,0.0714285714285712,7.15333333333333,0.0714761524114042
"TopN_Outlier_Pruning_Block_UNSORTED","mesh_network","average","best_outliers",30,2.26697910676489e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","mesh_network","average","distance_squared",661626,0.499964106164143,1.06333333333333,0.911428571428569,91.2166666666667,0.911437516653344
"TopN_Outlier_Pruning_Block_UNSORTED","mesh_network","average","merge",30,2.26697910676489e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","mesh_network","average","read_vardump",1,7.55659702254964e-07,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","mesh_network","average","set_num_vectors",2,1.51131940450993e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","mesh_network","average","sort_block_scores_descending",30,2.26697910676489e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","mesh_network","average","test",1,7.55659702254964e-07,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","mesh_network","average","top_n_outlier_pruning_block",1,7.55659702254964e-07,0.02,0.0171428571428571,1.71,0.0170863309352518
"TopN_Outlier_Pruning_Block_NO_BLOCKING","musk","average","add_neighbour",8088888,0.499983280090259,0.17,0.012457254518808,1.23333333333333,0.0123218329559078
"TopN_Outlier_Pruning_Block_NO_BLOCKING","musk","average","best_outliers",268,1.6565381924461e-05,0.00333333333333333,0.000244259892525647,0.0133333333333333,0.000133209004928733
"TopN_Outlier_Pruning_Block_NO_BLOCKING","musk","average","distance_squared",8088888,0.499983280090259,13.3933333333333,0.981436248168051,98.26,0.981683761822299
"TopN_Outlier_Pruning_Block_NO_BLOCKING","musk","average","merge",268,1.6565381924461e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","musk","average","read_vardump",1,6.18111265838097e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","musk","average","set_num_vectors",2,1.23622253167619e-07,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","musk","average","test",1,6.18111265838097e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","musk","average","top_n_outlier_pruning_block",1,6.18111265838097e-08,0.08,0.00586223742061553,0.586666666666667,0.00586119621686426
"TopN_Outlier_Pruning_Block_SORTED","musk","average","add_neighbour",8259302,0.49998486600726,0.17,0.0121718377088305,1.19333333333333,0.0119233971690258
"TopN_Outlier_Pruning_Block_SORTED","musk","average","best_outliers",165,9.98843520810814e-06,0.01,0.00071599045346062,0.05,0.000499583680266445
"TopN_Outlier_Pruning_Block_SORTED","musk","average","distance_squared",8259302,0.49998486600726,13.4666666666667,0.964200477326969,96.5433333333333,0.964629475437136
"TopN_Outlier_Pruning_Block_SORTED","musk","average","merge",165,9.98843520810814e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","musk","average","read_vardump",1,6.05359709582311e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","musk","average","set_num_vectors",2,1.21071941916462e-07,0.00666666666666667,0.000477326968973747,0.0466666666666667,0.000466278101582015
"TopN_Outlier_Pruning_Block_SORTED","musk","average","sort_block_scores_descending",165,9.98843520810814e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","musk","average","test",1,6.05359709582311e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","musk","average","top_n_outlier_pruning_block",1,6.05359709582311e-08,0.313333333333333,0.0224343675417661,2.25,0.02248126561199
"TopN_Outlier_Pruning_Block_UNSORTED","musk","average","add_neighbour",8259302,0.49998486600726,1.01,0.0678004027746699,6.79333333333333,0.0678722483098545
"TopN_Outlier_Pruning_Block_UNSORTED","musk","average","best_outliers",165,9.98843520810814e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","musk","average","distance_squared",8259302,0.49998486600726,13.42,0.900872678451555,90.1533333333333,0.900722682918706
"TopN_Outlier_Pruning_Block_UNSORTED","musk","average","merge",165,9.98843520810814e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","musk","average","read_vardump",1,6.05359709582311e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","musk","average","set_num_vectors",2,1.21071941916462e-07,0.00666666666666667,0.000447527411053927,0.0466666666666667,0.000466247044326773
"TopN_Outlier_Pruning_Block_UNSORTED","musk","average","sort_block_scores_descending",165,9.98843520810814e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","musk","average","test",1,6.05359709582311e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","musk","average","top_n_outlier_pruning_block",1,6.05359709582311e-08,0.46,0.030879391362721,3.09666666666667,0.0309388217271123
"TopN_Outlier_Pruning_Block_NO_BLOCKING","pendigits","average","add_neighbour",4835925,0.499968932383323,0.09,0.010948905109489,1.1,0.0109893769356289
"TopN_Outlier_Pruning_Block_NO_BLOCKING","pendigits","average","best_outliers",298,3.08091506485791e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","pendigits","average","distance_squared",4835925,0.499968932383323,8.08333333333333,0.983373884833739,98.4266666666667,0.983316127743181
"TopN_Outlier_Pruning_Block_NO_BLOCKING","pendigits","average","merge",298,3.08091506485791e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","pendigits","average","read_vardump",1,1.03386411572413e-07,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","pendigits","average","set_num_vectors",2,2.06772823144826e-07,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","pendigits","average","test",1,1.03386411572413e-07,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","pendigits","average","top_n_outlier_pruning_block",1,1.03386411572413e-07,0.0466666666666667,0.0056772100567721,0.57,0.00569449532118952
"TopN_Outlier_Pruning_Block_SORTED","pendigits","average","add_neighbour",5075808,0.499959123151209,0.0933333333333333,0.0101449275362319,1.00333333333333,0.010025313082867
"TopN_Outlier_Pruning_Block_SORTED","pendigits","average","best_outliers",275,2.70870684759121e-05,0.00333333333333333,0.00036231884057971,0.0166666666666667,0.000166533439914735
"TopN_Outlier_Pruning_Block_SORTED","pendigits","average","distance_squared",5075808,0.499959123151209,8.38,0.910869565217391,91.18,0.911071143085531
"TopN_Outlier_Pruning_Block_SORTED","pendigits","average","merge",275,2.70870684759121e-05,0.00333333333333333,0.00036231884057971,0.0366666666666667,0.000366373567812417
"TopN_Outlier_Pruning_Block_SORTED","pendigits","average","read_vardump",1,9.84984308214986e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","pendigits","average","set_num_vectors",2,1.96996861642997e-07,0.00333333333333333,0.00036231884057971,0.0366666666666667,0.000366373567812417
"TopN_Outlier_Pruning_Block_SORTED","pendigits","average","sort_block_scores_descending",275,2.70870684759121e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","pendigits","average","test",1,9.84984308214986e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_SORTED","pendigits","average","top_n_outlier_pruning_block",1,9.84984308214986e-08,0.716666666666667,0.0778985507246376,7.80666666666667,0.0780042632560618
"TopN_Outlier_Pruning_Block_UNSORTED","pendigits","average","add_neighbour",5075808,0.499959123151209,0.596666666666667,0.0615966964900206,6.17333333333333,0.0616819317235637
"TopN_Outlier_Pruning_Block_UNSORTED","pendigits","average","best_outliers",275,2.70870684759121e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","pendigits","average","distance_squared",5075808,0.499959123151209,8.28666666666667,0.855471438403303,85.6,0.855287260616153
"TopN_Outlier_Pruning_Block_UNSORTED","pendigits","average","merge",275,2.70870684759121e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","pendigits","average","read_vardump",1,9.84984308214986e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","pendigits","average","set_num_vectors",2,1.96996861642997e-07,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","pendigits","average","sort_block_scores_descending",275,2.70870684759121e-05,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","pendigits","average","test",1,9.84984308214986e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_UNSORTED","pendigits","average","top_n_outlier_pruning_block",1,9.84984308214986e-08,0.803333333333333,0.0829318651066758,8.31,0.0830308076602831
"TopN_Outlier_Pruning_Block_NO_BLOCKING","runningex10k","average","add_neighbour",40576504,0.499996297145577,0.65,0.00944127045608599,0.943333333333333,0.00942516485712382
"TopN_Outlier_Pruning_Block_NO_BLOCKING","runningex10k","average","best_outliers",298,3.67204864542746e-06,0.0133333333333333,0.000193667086278687,0.0133333333333333,0.000133217877839206
"TopN_Outlier_Pruning_Block_NO_BLOCKING","runningex10k","average","distance_squared",40576504,0.499996297145577,67.6066666666667,0.981988960976082,98.2933333333333,0.982082195430627
"TopN_Outlier_Pruning_Block_NO_BLOCKING","runningex10k","average","merge",298,3.67204864542746e-06,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","runningex10k","average","read_vardump",1,1.23223108906962e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","runningex10k","average","set_num_vectors",2,2.46446217813924e-08,0.0366666666666667,0.000532584487266389,0.05,0.000499567041897023
"TopN_Outlier_Pruning_Block_NO_BLOCKING","runningex10k","average","test",1,1.23223108906962e-08,0,0,0,0
"TopN_Outlier_Pruning_Block_NO_BLOCKING","runningex10k","average","top_n_outlier_pruning_block",1,1.23223108906962e-08,0.54,0.00784351699428682,0.786666666666667,0.00785985479251315
"TopN_Outlier_Pruning_Block_SORTED","runningex10k","average","add_neighbour",40761618,0.499995369461242,0.666666666666667,0.00983574309039048,0.98,0.0097924924224761
"TopN_Outlier_Pruning_Block_SORTED","runningex10k","average","best_outliers",250,3.06658195867766e-06,0.01,0.000147536146355857,0.01,9.99233920660827e-05
