Data set,Block size,Iteration,Dimensions,Vectors,Total time,Total time (normalised),Projected dimensions,Projected vectors,Function time,Function time (normalised),Distance calls,Distance calls (normalised),Pruned,Pruned (normalised)
"runningex30k",45,1,2,30000,1069.916,0.846230931615218,200,30000,69.284,0.347075973590085,2271927279,0.362809586526505,177912,0.563881678409447
"runningex30k",60,1,2,30000,1064.447,0.841905323843202,200,30000,68.373,0.342512348338359,2651072320,0.423356179205885,207547,0.657808077638639
"runningex30k",90,1,2,30000,1067.462,0.844289984189267,200,30000,68.819,0.344746571019226,3030336180,0.483921746380029,237178,0.75172179910178
"runningex30k",100,1,2,30000,1069.579,0.845964387490301,200,30000,68.414,0.342717736522027,3409888948,0.544533449974557,266799,0.845603826149794
"runningex30k",1000,1,2,30000,1078.621,0.85311599573213,200,30000,74.203,0.371717546162247,3813397318,0.608970681849392,295609,0.936915436130999
"runningex30k",10000,1,2,30000,1180.761,0.933901802613398,200,30000,140.686,0.704762000180341,4462097618,0.712563208686876,315513,1
"runningex30k",100000,1,2,30000,1264.331,1,200,30000,199.622,1,5362067618,0.856281604343438,315513,1
"runningex30k",1000000,1,2,30000,1263.105,0.999030317219146,200,30000,198.712,0.995441384216168,6262037618,1,315513,1
"runningex40k",0,1,2,40000,1534.633,0.871363388080532,200,40000,104.838,0.539309543039101,535715480,0.0847233859924839,39628,0.0932217344869605
"runningex40k",1,1,2,40000,1598.547,0.907653706082152,200,40000,111.152,0.571790136476108,535715480,0.0847233859924839,39628,0.0932217344869605
"runningex40k",10,1,2,40000,1588.673,0.90204725679173,200,40000,96.381,0.495804890093779,1071592016,0.169472242986206,79253,0.186436411711292
"runningex40k",15,1,2,40000,1594.724,0.90548300974457,200,40000,97.666,0.502415210424244,1607535912,0.254231752961769,118876,0.279646384093871
"runningex40k",30,1,2,40000,1595.790,0.906088283690649,200,40000,96.557,0.496710272489236,2143925694,0.339061779793942,158486,0.372825775005058
"runningex40k",40,1,2,40000,1603.946,0.910719253957276,200,40000,95.553,0.491545477460608,2680441773,0.423911780492617,198093,0.465998108653615
"runningex40k",45,1,2,40000,1592.042,0.903960172292989,200,40000,95.431,0.490917882845576,3217212032,0.508801979750145,237695,0.559158680197792
"runningex40k",60,1,2,40000,1593.506,0.90479143032025,200,40000,95.400,0.49075841208274,3754191236,0.593725223652727,277291,0.65230513721671
"runningex40k",90,1,2,40000,1590.671,0.90318171959123,200,40000,95.943,0.49355172254145,4291588192,0.67871453502072,316878,0.745430422447741
"runningex40k",100,1,2,40000,1594.519,0.905366610908785,200,40000,94.738,0.487352939663465,4829207691,0.763739041557031,356460,0.838543945574391
"runningex40k",1000,1,2,40000,1604.670,0.911130340577316,200,40000,103.810,0.53402128677473,5400983509,0.854165368848492,395187,0.929646148851783
"runningex40k",10000,1,2,40000,1761.186,1,200,40000,194.393,1,6323112252,1,425094,1
"runningex50k",0,1,2,50000,2281.164,0.896719210660797,200,50000,203.030,0.636557454146418,1030307019,0.086819957889904,49592,0.0927587845142658
